Key,en,es,ar,fr,hi
"Send Remittance successful, details of Send Remittance","Send Remittance successful, details of Send Remittance","Envío de remesa exitoso, detalles de Envío de remesa",تم إرسال الحوالة بنجاح، تفاصيل إرسال الحوالة,"Envoi de paiement réussi, détails de l'envoi de paiement","प्रेषण सफल रहा, प्रेषण भेजें का विवरण"
Admin Approved Your Add Money Request via,Admin Approved Your Add Money Request via,El administrador aprobó su solicitud para agregar dinero a través de,وافق المشرف على طلب إضافة الأموال الخاص بك عبر,L'administrateur a approuvé votre demande d'ajout d'argent via,एडमिन ने आपके पैसे जोड़ने के अनुरोध को मंजूरी दे दी है
"Admin Approved Your Remittance Request, Details Of Send Remittance","Admin Approved Your Remittance Request, Details Of Send Remittance","El administrador aprobó su solicitud de remesa, detalles del envío de remesa",وافق المشرف على طلب التحويل الخاص بك، وتفاصيل إرسال التحويلات,"L'administrateur a approuvé votre demande de versement, les détails de l'envoi du versement","एडमिन ने आपके प्रेषण अनुरोध को मंजूरी दे दी है, प्रेषण भेजने का विवरण"
"Admin Rejected Your Remittance Request,Details Of Send Remittance","Admin Rejected Your Remittance Request,Details Of Send Remittance","El administrador rechazó su solicitud de remesa, detalles del envío de remesa",رفض المشرف طلب التحويل الخاص بك، تفاصيل إرسال التحويلات,"L'administrateur a rejeté votre demande de versement, détails de l'envoi du versement","व्यवस्थापक ने आपके प्रेषण अनुरोध को अस्वीकार कर दिया, प्रेषण भेजने का विवरण"
Admin Rejected Your Add Money Request Via,Admin Rejected Your Add Money Request Via,El administrador rechazó su solicitud para agregar dinero a través de,رفض المشرف طلب إضافة أموال عبر,L'administrateur a rejeté votre demande d'ajout d'argent via,व्यवस्थापक ने आपके पैसे जोड़ने के अनुरोध को अस्वीकार कर दिया
Admin approved your withdraw money request,Admin approved your withdraw money request,El administrador aprobó su solicitud de retiro de dinero,وافق المشرف على طلب سحب الأموال الخاص بك,L'administrateur a approuvé votre demande de retrait d'argent,व्यवस्थापक ने आपके पैसे निकालने के अनुरोध को मंजूरी दे दी
Admin rejected your withdraw money request,Admin rejected your withdraw money request,El administrador rechazó su solicitud de retiro de dinero,رفض المشرف طلب سحب الأموال الخاص بك,L'administrateur a rejeté votre demande de retrait d'argent,व्यवस्थापक ने आपके पैसे निकालने के अनुरोध को अस्वीकार कर दिया
Admin approved your bill pay request,Admin approved your bill pay request,El administrador aprobó su solicitud de pago de factura,وافق المشرف على طلب دفع الفاتورة الخاصة بك,L'administrateur a approuvé votre demande de paiement de facture,व्यवस्थापक ने आपके बिल भुगतान अनुरोध को मंजूरी दे दी
Admin rejected your bill pay request,Admin rejected your bill pay request,El administrador rechazó su solicitud de pago de factura,رفض المشرف طلب دفع الفاتورة الخاص بك,L'administrateur a rejeté votre demande de paiement de facture,व्यवस्थापक ने आपके बिल भुगतान अनुरोध को अस्वीकार कर दिया
Admin approved your mobile top up request,Admin approved your mobile top up request,El administrador aprobó su solicitud de recarga móvil,وافق المشرف على طلب تعبئة رصيد هاتفك المحمول,L'administrateur a approuvé votre demande de recharge mobile,व्यवस्थापक ने आपके मोबाइल टॉप-अप अनुरोध को मंजूरी दे दी है
Your KYC verification request is approved by admin,Your KYC verification request is approved by admin,Su solicitud de verificación KYC es aprobada por el administrador,تمت الموافقة على طلب التحقق من KYC الخاص بك من قبل المشرف,Votre demande de vérification KYC est approuvée par l'administrateur,आपका केवाईसी सत्यापन अनुरोध व्यवस्थापक द्वारा अनुमोदित है
Your KYC verification request is rejected by admin,Your KYC verification request is rejected by admin,El administrador rechaza su solicitud de verificación KYC,تم رفض طلب التحقق من KYC الخاص بك من قبل المشرف,Votre demande de vérification KYC est rejetée par l'administrateur,आपका केवाईसी सत्यापन अनुरोध व्यवस्थापक द्वारा अस्वीकार कर दिया गया है
Hey,Hey,Ey,يا,Hé,अरे
Google 2FA,Google 2FA,2FA de Google,جوجل 2FA,Google 2FA,गूगल 2एफए
2FA Authentication,2FA Authentication,Autenticación 2FA,مصادقة 2FA,Authentification 2FA,2FA प्रमाणीकरण
2FA Settings,2FA Settings,Configuración 2FA,إعدادات 2FA,Paramètres 2FA,2एफए सेटिंग्स
Disable Two Factor Authenticator,Disable Two Factor Authenticator,Deshabilitar el autenticador de dos factores,تعطيل عامل المصادقة الثنائية,Désactiver l'authentificateur à deux facteurs,दो कारक प्रमाणक अक्षम करें
Enable Two Factor Authenticator,Enable Two Factor Authenticator,Habilitar el autenticador de dos factores,تمكين عامل المصادقة الثنائية,Activer l'authentificateur à deux facteurs,दो कारक प्रमाणक सक्षम करें
Copied,Copied,copiado,منقول,Copié,कॉपी किया गया
Please Verify 2FA Authentication,Please Verify 2FA Authentication,Verifique la autenticación 2FA,يرجى التحقق من مصادقة 2FA,Veuillez vérifier l'authentification 2FA,कृपया 2एफए प्रमाणीकरण सत्यापित करें
Authentication Code,Authentication Code,Código de autenticación,رمز المصادقة,Code d'authentification,प्रमाणीकरण कोड
If something wrong with your authentication process you can reset your password to get the dashboard access,If something wrong with your authentication process you can reset your password to get the dashboard access,"Si hay algún problema con su proceso de autenticación, puede restablecer su contraseña para obtener acceso al panel",إذا كان هناك خطأ ما في عملية المصادقة الخاصة بك، فيمكنك إعادة تعيين كلمة المرور الخاصة بك لتتمكن من الوصول إلى لوحة المعلومات,"En cas de problème avec votre processus d'authentification, vous pouvez réinitialiser votre mot de passe pour accéder au tableau de bord.",यदि आपकी प्रमाणीकरण प्रक्रिया में कुछ गड़बड़ है तो आप डैशबोर्ड तक पहुंच प्राप्त करने के लिए अपना पासवर्ड रीसेट कर सकते हैं
Bill Pay Method,Bill Pay Method,Método de pago de facturas,طريقة دفع الفاتورة,Méthode de paiement des factures,बिल भुगतान विधि
Method Already Exists!,Method Already Exists!,¡El método ya existe!,الطريقة موجودة بالفعل!,La méthode existe déjà !,विधि पहले से ही मौजूद है!
Method Saved Successfully!,Method Saved Successfully!,¡Método guardado con éxito!,تم حفظ الطريقة بنجاح!,Méthode enregistrée avec succès !,विधि सफलतापूर्वक सहेजी गई!
Method Updated Successfully!,Method Updated Successfully!,¡Método actualizado con éxito!,تم تحديث الطريقة بنجاح!,Méthode mise à jour avec succès !,विधि सफलतापूर्वक अपडेट की गई!
Method record not found in our system.,Method record not found in our system.,Registro de método no encontrado en nuestro sistema.,لم يتم العثور على سجل الطريقة في نظامنا.,Enregistrement de méthode introuvable dans notre système.,हमारे सिस्टम में विधि रिकॉर्ड नहीं मिला.
Method status updated successfully!,Method status updated successfully!,¡El estado del método se actualizó exitosamente!,تم تحديث حالة الطريقة بنجاح!,Statut de la méthode mis à jour avec succès !,विधि स्थिति सफलतापूर्वक अपडेट की गई!
Method deleted successfully!,Method deleted successfully!,¡Método eliminado exitosamente!,تم حذف الطريقة بنجاح!,Méthode supprimée avec succès !,विधि सफलतापूर्वक हटा दी गई!
Setup Bill Pay Method,Setup Bill Pay Method,Configurar el método de pago de facturas,إعداد طريقة دفع الفاتورة,Configurer la méthode de paiement des factures,बिल भुगतान विधि सेटअप करें
Add Method,Add Method,Agregar método,إضافة طريقة,Ajouter une méthode,विधि जोड़ें
Method Name,Method Name,Nombre del método,اسم الطريقة,Nom de la méthode,विधि का नाम
delete_text,Are you sure to delete,¿Estás seguro de eliminar?,هل أنت متأكد من الحذف,Êtes-vous sûr de supprimer,क्या वाकई हटाना है
Edit Method,Edit Method,Editar método,طريقة التحرير,Modifier la méthode,संपादन विधि
Add New Method,Add New Method,Agregar nuevo método,إضافة طريقة جديدة,Ajouter une nouvelle méthode,नई विधि जोड़ें
Setup Bill Pay Api,Setup Bill Pay Api,Configurar API de pago de facturas,إعداد فاتورة الدفع API,Configurer l'API de paiement de factures,सेटअप बिल भुगतान एपीआई
Bill Pay API Has Been Updated.,Bill Pay API Has Been Updated.,La API de pago de facturas se ha actualizado.,تم تحديث واجهة برمجة تطبيقات Bill Pay.,L'API Bill Pay a été mise à jour.,बिल भुगतान एपीआई अपडेट कर दिया गया है।
Bill pay successful,Bill pay successful,Pago de factura exitoso,تم دفع الفاتورة بنجاح,Paiement de facture réussi,बिल भुगतान सफल
Bill Month,Bill Month,Mes de factura,شهر الفاتورة,Mois de facturation,बिल महीना
Bill Pay Request Is Approved,Bill Pay Request Is Approved,Se aprueba la solicitud de pago de facturas,تمت الموافقة على طلب دفع الفاتورة,La demande de paiement de facture est approuvée,बिल भुगतान अनुरोध स्वीकृत है
Bill pay rejected,Bill pay rejected,Pago de factura rechazado,تم رفض دفع الفاتورة,Paiement de facture rejeté,बिल भुगतान अस्वीकृत
Processing,Processing,Tratamiento,يعالج,Traitement,प्रसंस्करण
Bill payment already taken for,Bill payment already taken for,Pago de factura ya realizado para,تم بالفعل دفع الفاتورة,Paiement de facture déjà pris pour,बिल भुगतान के लिए पहले ही ले लिया गया है
Bill Pay Request Successful,Bill Pay Request Successful,Solicitud de pago de factura exitosa,نجح طلب دفع الفاتورة,Demande de paiement de facture réussie,बिल भुगतान अनुरोध सफल
Processing Logs,Processing Logs,Registros de procesamiento,معالجة السجلات,Journaux de traitement,प्रसंस्करण लॉग
Mobile TopUp Method,Mobile TopUp Method,Método de recarga móvil,طريقة تعبئة رصيد الجوال,Méthode de recharge mobile,मोबाइल टॉपअप विधि
Setup Mobile Topup Method,Setup Mobile Topup Method,Configurar el método de recarga móvil,إعداد طريقة شحن رصيد الهاتف المحمول,Configurer la méthode de recharge mobile,मोबाइल टॉपअप विधि सेटअप करें
Mobile TopUp API Has Been Updated.,Mobile TopUp API Has Been Updated.,Se ha actualizado la API de recarga móvil.,تم تحديث Mobile TopUp API.,L'API Mobile TopUp a été mise à jour.,मोबाइल टॉपअप एपीआई अपडेट कर दिया गया है।
Operator Name,Operator Name,Nombre del operador,اسم المشغل,Nom de l'opérateur,ऑपरेटर का नाम
Detecting Operator,Detecting Operator,Operador de detección,عامل كشف,Opérateur de détection,ऑपरेटर का पता लगाना
Just a seconds.,Just a seconds.,Sólo unos segundos.,مجرد ثواني.,Juste une seconde.,बस एक सेकंड.
We're getting few things from space...,We're getting few things from space...,Estamos recibiendo pocas cosas del espacio...,نحن نحصل على القليل من الأشياء من الفضاء,Nous recevons peu de choses de l'espace...,हमें अंतरिक्ष से कुछ चीज़ें मिल रही हैं...
Mobile topup request successful,Mobile topup request successful,Solicitud de recarga móvil exitosa,تم طلب تعبئة رصيد الهاتف المحمول بنجاح,Demande de recharge mobile réussie,मोबाइल टॉपअप अनुरोध सफल
All Notification,All Notification,Todas las notificaciones,كل الإخطار,Toutes les notifications,सभी अधिसूचना
Request Money Request Send,Request Money Request Send,Solicitar dinero Solicitar enviar,طلب طلب المال إرسال,Demander de l'argent Demander Envoyer,धन का अनुरोध करें अनुरोध भेजें
Send Remittance Information,Send Remittance Information,Enviar información de remesa,إرسال معلومات التحويلات,Envoyer les informations de paiement,प्रेषण सूचना भेजें
Virtual Card Information,Virtual Card Information,Información de la tarjeta virtual,معلومات البطاقة الافتراضية,Informations sur la carte virtuelle,वर्चुअल कार्ड की जानकारी
Gift Card Information,Gift Card Information,Información de la tarjeta de regalo,معلومات بطاقة الهدايا,Informations sur la carte-cadeau,उपहार कार्ड की जानकारी
Biller Name,Biller Name,Nombre del facturador,اسم بيلر,Nom de l'émetteur de la facture,बिलर का नाम
New User Register,New User Register,Registro de nuevo usuario,تسجيل مستخدم جديد,Registre des nouveaux utilisateurs,नया उपयोगकर्ता रजिस्टर
Information Of New User,Information Of New User,Información del nuevo usuario,معلومات المستخدم الجديد,Informations du nouvel utilisateur,नये उपयोगकर्ता की जानकारी
Notification Type,Notification Type,Tipo de notificación,نوع الإخطار,Type de notification,जानकारी प्रकार
Password Reset,Password Reset,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialisation du mot de passe,पासवर्ड रीसेट
Information Of Password Reset,Information Of Password Reset,Información de restablecimiento de contraseña,معلومات إعادة تعيين كلمة المرور,Informations sur la réinitialisation du mot de passe,पासवर्ड रीसेट की जानकारी
Copied Successful,Copied Successful,Copiado correctamente,تم النسخ بنجاح,Copié avec succès,सफल प्रतिलिपि बनाई गई
Create Api Keys,Create Api Keys,Crear claves API,إنشاء مفاتيح API,Créer des clés API,एपीआई कुंजियाँ बनाएँ
Create New Api Keys,Create New Api Keys,Crear nuevas claves API,إنشاء مفاتيح API جديدة,Créer de nouvelles clés API,नई एपीआई कुंजियाँ बनाएँ
Create,Create,Crear,يخلق,Créer,बनाएं
Are you sure to change mode,Are you sure to change mode,¿Estás seguro de cambiar de modo?,هل أنت متأكد من تغيير الوضع,Êtes-vous sûr de changer de mode,क्या आप निश्चित रूप से मोड बदलना चाहते हैं?
Api Keys Deleted Successfully,Api Keys Deleted Successfully,Claves de API eliminadas correctamente,تم حذف مفاتيح API بنجاح,Clés API supprimées avec succès,एपीआई कुंजियाँ सफलतापूर्वक हटा दी गईं
Api Keys Created Successfully,Api Keys Created Successfully,Claves de API creadas con éxito,تم إنشاء مفاتيح API بنجاح,Clés API créées avec succès,एपीआई कुंजियाँ सफलतापूर्वक बनाई गईं
details transactions,details transactions,detalles de transacciones,تفاصيل المعاملات,détails des transactions,विवरण लेनदेन
Payment Type,Payment Type,Tipo de pago,نوع الدفع,Type de paiement,भुगतान प्रकार
Balance Added To Wallet,Balance Added To Wallet,Saldo agregado a la billetera,تمت إضافة الرصيد إلى المحفظة,Solde ajouté au portefeuille,बैलेंस वॉलेट में जोड़ा गया
Card Payment,Card Payment,Pago con tarjeta,الدفع بالبطاقة,Paiement par carte,कार्ड भुगतान
Please Pay For,Please Pay For,Por favor pague por,يرجى الدفع مقابل,Veuillez payer pour,कृपया इसके लिए भुगतान करें
Transaction Cancelled,Transaction Cancelled,Transacción cancelada,تم إلغاء المعاملة,Transaction annulée,लेन-देन रद्द
Wallet System,Wallet System,Sistema de billetera,نظام المحفظة,Système de portefeuille,वॉलेट सिस्टम
EWallet System Enabled Successfully,Wallet System Enabled Successfully,Sistema de billetera habilitado exitosamente,تم تمكين نظام المحفظة بنجاح,Système de portefeuille activé avec succès,वॉलेट सिस्टम सफलतापूर्वक सक्षम किया गया
Wallet System Disabled  Successfully,Wallet System Disabled  Successfully,Sistema de billetera deshabilitado exitosamente,تم تعطيل نظام المحفظة بنجاح,Le système de portefeuille a été désactivé avec succès,वॉलेट सिस्टम सफलतापूर्वक अक्षम किया गया
EPayment Gateway System Enabled Successfully,Payment Gateway System Enabled Successfully,Sistema de pasarela de pago habilitado exitosamente,تم تفعيل نظام بوابة الدفع بنجاح,Système de passerelle de paiement activé avec succès,भुगतान गेटवे सिस्टम सफलतापूर्वक सक्षम किया गया
Payment Gateway System Disabled Successfully,Payment Gateway System Disabled Successfully,Sistema de pasarela de pago deshabilitado exitosamente,تم تعطيل نظام بوابة الدفع بنجاح,Le système de passerelle de paiement a été désactivé avec succès,भुगतान गेटवे सिस्टम सफलतापूर्वक अक्षम किया गया
Master/Visa Card System Enabled Successfully,Master/Visa Card System Enabled Successfully,Sistema de tarjeta Master/Visa habilitado exitosamente,تم تمكين نظام بطاقة Master/Visa بنجاح,Système de carte Master/Visa activé avec succès,मास्टर/वीज़ा कार्ड सिस्टम सफलतापूर्वक सक्षम किया गया
DMaster/Visa Card System Disabled Successfully,Master/Visa Card System Disabled Successfully,Sistema de tarjeta Master/Visa deshabilitado exitosamente,تم تعطيل نظام بطاقة Master/Visa بنجاح,Le système de carte Master/Visa a été désactivé avec succès,मास्टर/वीज़ा कार्ड सिस्टम सफलतापूर्वक अक्षम किया गया
Debit/Credit Card,Debit/Credit Card,Tarjeta de débito/crédito,بطاقة الخصم/الائتمان,Carte de débit/crédit,डेबिट/क्रेडिट कार्ड
Pay With,Pay With,Pagar con,ادفع باستخدام,Payer avec,के साथ भुगतान करें
Pay With Payment Gateway,Pay With Payment Gateway,Pagar con Pasarela de Pago,الدفع باستخدام بوابة الدفع,Payer avec une passerelle de paiement,पेमेंट गेटवे से भुगतान करें
Sender Not Found,Sender Not Found,Remitente no encontrado,لم يتم العثور على المرسل,Expéditeur introuvable,प्रेषक नहीं मिला
Sender Wallet Not Found,Sender Wallet Not Found,Cartera del remitente no encontrada,لم يتم العثور على محفظة المرسل,Portefeuille de l'expéditeur introuvable,प्रेषक वॉलेट नहीं मिला
PayLink Payment,PayLink Payment,Pago de enlace de pago,الدفع باي لينك,Paiement PayLink,पेलिंक भुगतान
Your PayLink Payment Request Send Successful,Your PayLink Payment Request Send Successful,Su solicitud de pago PayLink se envió correctamente,تم إرسال طلب الدفع الخاص بـ PayLink بنجاح,Votre demande de paiement PayLink est envoyée avec succès,आपका पेलिंक भुगतान अनुरोध सफलतापूर्वक भेजा गया
Sender Username,Sender Username,Nombre de usuario del remitente,اسم المستخدم للمرسل,Nom d'utilisateur de l'expéditeur,प्रेषक उपयोगकर्ता नाम
Payment Via,Payment Via,Pago vía,الدفع عن طريق,Paiement via,के माध्यम से भुगतान
Can not pay to your own payment link,Can not pay to your own payment link,No puedes pagar a tu propio enlace de pago,لا يمكن الدفع لرابط الدفع الخاص بك,Impossible de payer sur votre propre lien de paiement,अपने स्वयं के भुगतान लिंक से भुगतान नहीं कर सकते
"Your wallet balance is insufficient to complete this transaction, Please add funds to proceed.","Your wallet balance is insufficient to complete this transaction, Please add funds to proceed.",El saldo de su billetera no es suficiente para completar esta transacción. Agregue fondos para continuar.,رصيد محفظتك غير كافٍ لإكمال هذه المعاملة، يرجى إضافة الأموال للمتابعة.,Le solde de votre portefeuille est insuffisant pour finaliser cette transaction. Veuillez ajouter des fonds pour continuer.,"इस लेनदेन को पूरा करने के लिए आपके बटुए की शेष राशि अपर्याप्त है, कृपया आगे बढ़ने के लिए धनराशि जोड़ें।"
Setup Country Restriction,Setup Country Restriction,Configurar restricción de país,إعداد قيود البلد,Restriction de pays de configuration,सेटअप देश प्रतिबंध
Country Restriction Form,Country Restriction Form,Formulario de restricción de país,نموذج تقييد الدولة,Formulaire de restriction de pays,देश प्रतिबंध प्रपत्र
Pusher Beams Token,Pusher Beams Token,Ficha de vigas empujadoras,رمز الحزم الدافعة,Jeton de poutres pousseuses,पुशर बीम्स टोकन
The developer API key with this name has already been created,The developer API key with this name has already been created,La clave API de desarrollador con este nombre ya se ha creado,تم بالفعل إنشاء مفتاح API للمطور بهذا الاسم,La clé API du développeur portant ce nom a déjà été créée,इस नाम की डेवलपर एपीआई कुंजी पहले ही बनाई जा चुकी है
cardHolderName,Card Holder Name,Nombre del titular de la tarjeta,اسم حامل البطاقة,Nom du titulaire de la carte,कार्डधारक का नाम
enterCardHolderName,Enter Card Holder Name,Ingrese el nombre del titular de la tarjeta,أدخل اسم حامل البطاقة,Entrez le nom du titulaire de la carte,कार्ड धारक का नाम दर्ज करें
use,Use,Usar,يستخدم,Utiliser,उपयोग
billMonths,Bill Months,Meses de factura,أشهر الفاتورة,Mois de facturation,बिल महीने
selectTopUpType,Select Top Up Type,Seleccione el tipo de recarga,حدد نوع التعبئة,Sélectionnez le type de recharge,टॉप अप प्रकार का चयन करें
giftCards,Gift Cards,Tarjetas de regalo,بطاقات الهدايا,Cartes-cadeaux,उपहार कार्ड
enter,Enter,Ingresar,يدخل,Entrer,प्रवेश करना
receiverEmail,Receiver Email,Correo electrónico del destinatario,البريد الإلكتروني المتلقي,E-mail du destinataire,प्राप्तकर्ता ईमेल
fromName,From Name,Del nombre,من الاسم,Du nom,नाम से
giftCardDetails,Gift Card Details,Detalles de la tarjeta de regalo,تفاصيل بطاقة الهدايا,Détails de la carte-cadeau,उपहार कार्ड विवरण
giftCard,Gift Card,Tarjeta de regalo,بطاقة هدية,Carte cadeau,उपहार कार्ड
payUserPayLink,Pay User Pay Link,Enlace de pago de usuario de pago,رابط دفع المستخدم,Payer le lien de paiement de l'utilisateur,उपयोगकर्ता भुगतान लिंक का भुगतान करें
paymentType,Payment Type,Tipo de pago,نوع الدفع,Type de paiement,भुगतान प्रकार
paymentGateway,Payment Gateway,Pasarela de pago,بوابة الدفع,Passerelle de paiement,भुगतान गेटवे
senderEmail,Sender Email,Correo electrónico del remitente,البريد الإلكتروني للمرسل,E-mail de l'expéditeur,प्रेषक ईमेल
senderCardNumber,Sender Card Number,Número de tarjeta del remitente,رقم بطاقة المرسل,Numéro de carte de l'expéditeur,प्रेषक कार्ड संख्या
Billing Country,Billing Country,País de facturación,بلد إرسال الفواتير,Pays de facturation,बिलिंग देश
Billing Address,Billing Address,Dirección de Envio,عنوان الفواتير,adresse de facturation,बिलिंग पता
Billing City,Billing City,Ciudad de facturación,مدينة الفواتير,Ville de facturation,बिलिंग शहर
Billing State,Billing State,Estado de facturación,دولة إرسال الفواتير,État de facturation,बिलिंग राज्य
Billing Zip Code,Billing Zip Code,Código postal de facturación,الرمز البريدي للفوترة,Code postal de facturation,बिलिंग पिन कोड
more,More,Más,أكثر,Plus,अधिक
Select Bank Branch,Select Bank Branch,Seleccionar Sucursal Bancaria,اختر فرع البنك,Sélectionnez une agence bancaire,बैंक शाखा का चयन करें
Bank Branch,Bank Branch,Sucursal bancaria,فرع البنك,Agence bancaire,बैंक शाखा
Beneficiary Name,Beneficiary Name,Nombre del beneficiario,اسم المستفيد,Nom du bénéficiaire,लाभार्थी का नाम
Bank account does not exists.,Bank account does not exists.,La cuenta bancaria no existe.,الحساب البنكي غير موجود.,Le compte bancaire n'existe pas.,बैंक खाता मौजूद नहीं है.
No branches found for specified bank,No branches found for specified bank,No se encontraron sucursales para el banco especificado,لم يتم العثور على فروع للبنك المحدد,Aucune succursale trouvée pour la banque spécifiée,निर्दिष्ट बैंक के लिए कोई शाखा नहीं मिली
Please select all requird fields.,Please select all requird fields.,Por favor seleccione todos los campos obligatorios.,الرجاء تحديد كافة الحقول المطلوبة.,Veuillez sélectionner tous les champs obligatoires.,कृपया सभी आवश्यक फ़ील्ड चुनें.
Account details fetched successfully,Account details fetched successfully,Detalles de la cuenta obtenidos correctamente,تم جلب تفاصيل الحساب بنجاح,Les détails du compte ont été récupérés avec succès,खाता विवरण सफलतापूर्वक लाया गया
Bank branches fetched successfully,Bank branches fetched successfully,Sucursales bancarias recuperadas con éxito,تم جلب فروع البنك بنجاح,Agences bancaires récupérées avec succès,बैंक शाखाएं सफलतापूर्वक प्राप्त हुईं
You cannot update this country as it is already stored in your records.,You cannot update this country as it is already stored in your records.,No puede actualizar este país porque ya está almacenado en sus registros.,لا يمكنك تحديث هذا البلد لأنه مخزن بالفعل في سجلاتك.,Vous ne pouvez pas mettre à jour ce pays car il est déjà stocké dans vos dossiers.,आप इस देश को अपडेट नहीं कर सकते क्योंकि यह पहले से ही आपके रिकॉर्ड में संग्रहीत है।
Remittances cannot be sent within the same country,Remittances cannot be sent within the same country,No se pueden enviar remesas dentro del mismo país.,لا يمكن إرسال الحوالات المالية داخل نفس البلد,Les fonds ne peuvent pas être envoyés dans le même pays,प्रेषण एक ही देश के भीतर नहीं भेजे जा सकते
Remittance Method,Remittance Method,Método de remesa,طريقة التحويل,Méthode de versement,प्रेषण विधि
app l beneficiary Name,Beneficiary Name,Nombre del beneficiario,اسم المستفيد,Nom du bénéficiaire,लाभार्थी का नाम
app l enter Beneficiar Name,Enter Beneficiary Name,Ingrese el nombre del beneficiario,أدخل اسم المستفيد,Entrez le nom du bénéficiaire,लाभार्थी का नाम दर्ज करें
app l bank Branch,Bank Branch,Sucursal bancaria,فرع البنك,Agence bancaire,बैंक शाखा
app l enter Branch Name,Enter Branch Name,Ingrese el nombre de la sucursal,أدخل اسم الفرع,Entrez le nom de la succursale,शाखा का नाम दर्ज करें
app l no Branch Found,No Branch Found,No se encontró ninguna sucursal,لم يتم العثور على فرع,Aucune succursale trouvée,कोई शाखा नहीं मिली
app l select Branch,Select Branch,Seleccionar Sucursal,حدد الفرع,Sélectionnez une succursale,शाखा का चयन करें
app l search,Search,Buscar,يبحث,Recherche,खोज
app l more,More,Más,أكثر,Plus,अधिक
System Maintenance,System Maintenance,Mantenimiento del sistema,صيانة النظام,Entretien du système,प्रणाली रखरखाव
No Default Card Available,No Default Card Available,No hay tarjeta predeterminada disponible,لا توجد بطاقة افتراضية متاحة,Aucune carte par défaut disponible,कोई डिफ़ॉल्ट कार्ड उपलब्ध नहीं है
ID Card Image (Font Side),ID Card Image (Font Side),Imagen de tarjeta de identificación (lado de fuente),صورة بطاقة الهوية (جانب الخط),Image de la carte d'identité (côté police),आईडी कार्ड छवि (फ़ॉन्ट साइड)
NID/Passport,NID/Passport,DNI/Pasaporte,الرقم الوطني/ جواز السفر,NID/Passeport,एनआईडी/पासपोर्ट
Your Photo,Your Photo,Tu foto,صورتك,Votre photo,अपना फोटो
Should show your face and must be match with your ID,Should show your face and must be match with your ID,Debe mostrar su rostro y debe coincidir con su identificación.,يجب أن يظهر وجهك ويجب أن يكون مطابقًا لبطاقة هويتك,Doit montrer votre visage et doit correspondre à votre pièce d'identité,आपका चेहरा दिखना चाहिए और आपकी आईडी से मेल खाना चाहिए
Customer has been created successfully.,Customer has been created successfully.,El cliente ha sido creado exitosamente.,تم إنشاء العميل بنجاح.,Le client a été créé avec succès.,ग्राहक सफलतापूर्वक बनाया गया है.
Status of the customer you created,Status of the customer you created,Estado del cliente que creaste,حالة العميل الذي قمت بإنشائه,Statut du client que vous avez créé,आपके द्वारा बनाए गए ग्राहक की स्थिति
Update Customer,Update Customer,Actualizar cliente,تحديث العميل,Mettre à jour le client,ग्राहक को अपडेट करें
Update Customer Kyc,Update Customer Kyc,Actualizar Kyc del cliente,تحديث عميل Kyc,Mettre à jour le Kyc du client,ग्राहक Kyc अपडेट करें
ID Card Image,ID Card Image,Imagen de tarjeta de identificación,صورة بطاقة الهوية,Image de la carte d'identité,आईडी कार्ड छवि
The First Name field should only contain letters and cannot start with a number or special character,The First Name field should only contain letters and cannot start with a number or special character,El campo Nombre solo debe contener letras y no puede comenzar con un número o carácter especial.,يجب أن يحتوي حقل الاسم الأول على أحرف فقط ولا يمكن أن يبدأ برقم أو حرف خاص,Le champ Prénom ne doit contenir que des lettres et ne peut pas commencer par un chiffre ou un caractère spécial.,प्रथम नाम फ़ील्ड में केवल अक्षर होने चाहिए और किसी संख्या या विशेष वर्ण से प्रारंभ नहीं किया जा सकता
The Last Name field should only contain letters and cannot start with a number or special character.,The Last Name field should only contain letters and cannot start with a number or special character.,El campo Apellido solo debe contener letras y no puede comenzar con un número o carácter especial.,يجب أن يحتوي حقل اسم العائلة على أحرف فقط ولا يمكن أن يبدأ برقم أو حرف خاص.,Le champ Nom de famille ne doit contenir que des lettres et ne peut pas commencer par un chiffre ou un caractère spécial.,अंतिम नाम फ़ील्ड में केवल अक्षर होने चाहिए और किसी संख्या या विशेष वर्ण से शुरू नहीं होना चाहिए।
Customer has been updated successfully.,Customer has been updated successfully.,El cliente se ha actualizado correctamente.,تم تحديث العميل بنجاح.,Le client a été mis à jour avec succès.,ग्राहक को सफलतापूर्वक अपडेट कर दिया गया है.
